               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12405,            0.078218,            0.030013,            0.033557,             0.41667,            0.026593,           0.0064956,             0.12587,            0.071185,            0.028374,                 0.1,                   0,                   0
                   1,             0.12311,            0.078945,            0.029835,            0.034247,             0.41667,            0.026548,           0.0061059,             0.12563,            0.071928,            0.028317,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.12365,            0.067316,            0.029384,            0.034965,             0.41667,            0.028132,           0.0067834,             0.12545,            0.072501,            0.028291,            0.098121,           0.0001208,           0.0001208
                   3,             0.12378,            0.077035,            0.028289,            0.027778,             0.33333,            0.024153,           0.0067517,             0.12524,            0.072892,            0.028229,            0.097122,           0.0001218,           0.0001218
                   4,             0.12327,            0.099224,              0.0296,            0.028169,             0.33333,            0.023674,           0.0060241,             0.12508,            0.073285,            0.028176,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.12459,            0.078656,            0.029593,                   0,                   0,                   0,                   0,              0.1277,            0.053908,             0.02551,                 0.1,                   0,                   0
                   1,             0.12271,             0.08981,            0.028936,                   0,                   0,                   0,                   0,             0.12772,            0.053838,            0.025544,             0.09908,            8.02e-05,            8.02e-05
                   2,             0.12655,            0.072988,            0.027865,                   0,                   0,                   0,                   0,             0.12761,            0.053969,            0.025564,            0.098121,           0.0001208,           0.0001208
                   3,             0.12298,            0.082465,            0.028498,                   0,                   0,                   0,                   0,             0.12751,            0.054099,            0.025578,            0.097122,           0.0001218,           0.0001218
                   4,             0.12253,              0.1097,            0.028708,                   0,                   0,                   0,                   0,             0.12734,            0.054321,            0.025594,            0.096083,            8.32e-05,            8.32e-05
                   0,             0.12414,            0.077627,            0.030267,            0.033333,                 0.4,            0.025988,           0.0063663,             0.12604,            0.072734,            0.028262,                 0.1,                   0,                   0
